order_id,order_date,customer_id,Country
536365,12/1/2010 8:26,17850.0,United Kingdom
536366,12/1/2010 8:28,17850.0,United Kingdom
536367,12/1/2010 8:34,13047.0,United Kingdom
536368,12/1/2010 8:34,13047.0,United Kingdom
536369,12/1/2010 8:35,13047.0,United Kingdom
536370,12/1/2010 8:45,12583.0,France
536371,12/1/2010 9:00,13748.0,United Kingdom
536372,12/1/2010 9:01,17850.0,United Kingdom
536373,12/1/2010 9:02,17850.0,United Kingdom
536374,12/1/2010 9:09,15100.0,United Kingdom
536375,12/1/2010 9:32,17850.0,United Kingdom
536376,12/1/2010 9:32,15291.0,United Kingdom
536377,12/1/2010 9:34,17850.0,United Kingdom
536378,12/1/2010 9:37,14688.0,United Kingdom
536380,12/1/2010 9:41,17809.0,United Kingdom
536381,12/1/2010 9:41,15311.0,United Kingdom
C536379,12/1/2010 9:41,14527.0,United Kingdom
536382,12/1/2010 9:45,16098.0,United Kingdom
C536383,12/1/2010 9:49,15311.0,United Kingdom
536384,12/1/2010 9:53,18074.0,United Kingdom
536385,12/1/2010 9:56,17420.0,United Kingdom
536386,12/1/2010 9:57,16029.0,United Kingdom
536387,12/1/2010 9:58,16029.0,United Kingdom
536388,12/1/2010 9:59,16250.0,United Kingdom
536389,12/1/2010 10:03,12431.0,Australia
536390,12/1/2010 10:19,17511.0,United Kingdom
C536391,12/1/2010 10:24,17548.0,United Kingdom
536392,12/1/2010 10:29,13705.0,United Kingdom
536393,12/1/2010 10:37,13747.0,United Kingdom
536394,12/1/2010 10:39,13408.0,United Kingdom
536395,12/1/2010 10:47,13767.0,United Kingdom
536396,12/1/2010 10:51,17850.0,United Kingdom
536397,12/1/2010 10:51,17924.0,United Kingdom
536398,12/1/2010 10:52,13448.0,United Kingdom
536399,12/1/2010 10:52,17850.0,United Kingdom
536400,12/1/2010 10:53,13448.0,United Kingdom
536401,12/1/2010 11:21,15862.0,United Kingdom
536402,12/1/2010 11:22,15513.0,United Kingdom
536403,12/1/2010 11:27,12791.0,Netherlands
536404,12/1/2010 11:29,16218.0,United Kingdom
536405,12/1/2010 11:32,14045.0,United Kingdom
536406,12/1/2010 11:33,17850.0,United Kingdom
536407,12/1/2010 11:34,17850.0,United Kingdom
536408,12/1/2010 11:41,14307.0,United Kingdom
536409,12/1/2010 11:45,17908.0,United Kingdom
536412,12/1/2010 11:49,17920.0,United Kingdom
536414,12/1/2010 11:52,,United Kingdom
536415,12/1/2010 11:57,12838.0,United Kingdom
536416,12/1/2010 11:58,13255.0,United Kingdom
536420,12/1/2010 12:03,16583.0,United Kingdom
536423,12/1/2010 12:08,18085.0,United Kingdom
536425,12/1/2010 12:08,13758.0,United Kingdom
536437,12/1/2010 12:12,13694.0,United Kingdom
536446,12/1/2010 12:15,15983.0,United Kingdom
536460,12/1/2010 12:22,14849.0,United Kingdom
536463,12/1/2010 12:22,14849.0,United Kingdom
536464,12/1/2010 12:23,17968.0,United Kingdom
536466,12/1/2010 12:23,14849.0,United Kingdom
536477,12/1/2010 12:27,16210.0,United Kingdom
536488,12/1/2010 12:31,17897.0,United Kingdom
536500,12/1/2010 12:35,17377.0,United Kingdom
536502,12/1/2010 12:36,16552.0,United Kingdom
536508,12/1/2010 12:38,17181.0,United Kingdom
C536506,12/1/2010 12:38,17897.0,United Kingdom
536514,12/1/2010 12:40,17951.0,United Kingdom
536520,12/1/2010 12:43,14729.0,United Kingdom
536521,12/1/2010 12:48,12748.0,United Kingdom
536522,12/1/2010 12:49,15012.0,United Kingdom
536523,12/1/2010 12:50,12868.0,United Kingdom
536524,12/1/2010 12:51,17572.0,United Kingdom
536525,12/1/2010 12:54,14078.0,United Kingdom
536526,12/1/2010 12:58,14001.0,United Kingdom
536527,12/1/2010 13:04,12662.0,Germany
536528,12/1/2010 13:17,15525.0,United Kingdom
536529,12/1/2010 13:20,14237.0,United Kingdom
536530,12/1/2010 13:21,17905.0,United Kingdom
536531,12/1/2010 13:23,15485.0,United Kingdom
536532,12/1/2010 13:24,12433.0,Norway
536533,12/1/2010 13:31,16955.0,United Kingdom
536534,12/1/2010 13:33,15350.0,United Kingdom
536535,12/1/2010 13:38,15605.0,United Kingdom
536536,12/1/2010 13:45,18144.0,United Kingdom
536537,12/1/2010 13:51,15922.0,United Kingdom
536538,12/1/2010 13:54,14594.0,United Kingdom
536539,12/1/2010 14:03,15165.0,United Kingdom
536540,12/1/2010 14:05,14911.0,EIRE
536541,12/1/2010 14:05,14911.0,EIRE
536542,12/1/2010 14:11,16456.0,United Kingdom
C536543,12/1/2010 14:30,17841.0,United Kingdom
536544,12/1/2010 14:32,,United Kingdom
536545,12/1/2010 14:32,,United Kingdom
536546,12/1/2010 14:33,,United Kingdom
536547,12/1/2010 14:33,,United Kingdom
C536548,12/1/2010 14:33,12472.0,Germany
536549,12/1/2010 14:34,,United Kingdom
536550,12/1/2010 14:34,,United Kingdom
536551,12/1/2010 14:34,17346.0,United Kingdom
536552,12/1/2010 14:34,,United Kingdom
536553,12/1/2010 14:35,,United Kingdom
536554,12/1/2010 14:35,,United Kingdom
536555,12/1/2010 14:37,,United Kingdom
536556,12/1/2010 14:38,17643.0,United Kingdom
536557,12/1/2010 14:41,17841.0,United Kingdom
536558,12/1/2010 14:48,,United Kingdom
536559,12/1/2010 14:54,17873.0,United Kingdom
